Camera,Plant Name,focus,tilt,pan,iris,zoom
5,Aloe tree,32766.000000,-7.716888,155.940216,32766.000000,1087.000000
5,E barard1,32766.000000,-33.332321,-162.876587,32766.000000,1296.000000
5,Two-spain,32766.000000,-29.530502,-177.395660,32766.000000,8609.000000
